major_id,major_type,course_type,required_credits,track,applies_from_year,applies_to_year
3,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
3,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
3,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
3,,GENERAL,32,INTENSIVE_SOLO,2023,2024
4,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
4,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
4,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
4,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
4,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
4,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
4,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
4,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
4,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
4,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
4,,GENERAL,32,INTENSIVE_SOLO,2023,2024
17,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
17,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
17,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
17,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
17,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
17,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
17,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
17,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
17,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
17,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
17,,GENERAL,32,INTENSIVE_SOLO,2023,2024
18,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
18,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
18,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
18,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
18,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
18,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
18,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
18,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
18,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
18,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
18,,GENERAL,32,INTENSIVE_SOLO,2023,2024
19,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
19,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
19,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
19,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
19,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
19,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
